brand_id	tier	demographic	series_index	series_topic	book_index	status	epub_path	locale
creative_unfold_social	niche	shojo	2	self_worth	3	planned		en_US
creative_unfold_social	niche	shojo	2	self_worth	4	planned		en_US
creative_unfold_social	niche	shojo	2	self_worth	5	planned		en_US
creative_unfold_social	niche	shojo	3	courage	1	planned		en_US
creative_unfold_social	niche	shojo	3	courage	2	planned		en_US
creative_unfold_social	niche	shojo	3	courage	3	planned		en_US
creative_unfold_social	niche	shojo	3	courage	4	planned		en_US
creative_unfold_social	niche	shojo	3	courage	5	planned		en_US
creative_unfold_social	niche	shojo	4	social_anxiety	1	planned		en_US
creative_unfold_social	niche	shojo	4	social_anxiety	2	planned		en_US
creative_unfold_social	niche	shojo	4	social_anxiety	3	planned		en_US
creative_unfold_social	niche	shojo	4	social_anxiety	4	planned		en_US
creative_unfold_social	niche	shojo	4	social_anxiety	5	planned		en_US
creative_unfold_social	niche	shojo	5	social_anxiety	1	planned		en_US
creative_unfold_social	niche	shojo	5	social_anxiety	2	planned		en_US
creative_unfold_social	niche	shojo	5	social_anxiety	3	planned		en_US
creative_unfold_social	niche	shojo	5	social_anxiety	4	planned		en_US
creative_unfold_social	niche	shojo	5	social_anxiety	5	planned		en_US
devotion_path_shonen	niche	shonen	1	courage	1	planned		en_US
devotion_path_shonen	niche	shonen	1	courage	2	planned		en_US
devotion_path_shonen	niche	shonen	1	courage	3	planned		en_US
devotion_path_shonen	niche	shonen	1	courage	4	planned		en_US
devotion_path_shonen	niche	shonen	1	courage	5	planned		en_US
devotion_path_shonen	niche	shonen	2	self_worth	1	planned		en_US
devotion_path_shonen	niche	shonen	2	self_worth	2	planned		en_US
devotion_path_shonen	niche	shonen	2	self_worth	3	planned		en_US
devotion_path_shonen	niche	shonen	2	self_worth	4	planned		en_US
devotion_path_shonen	niche	shonen	2	self_worth	5	planned		en_US
devotion_path_shonen	niche	shonen	3	grief	1	planned		en_US
devotion_path_shonen	niche	shonen	3	grief	2	planned		en_US
devotion_path_shonen	niche	shonen	3	grief	3	planned		en_US
devotion_path_shonen	niche	shonen	3	grief	4	planned		en_US
devotion_path_shonen	niche	shonen	3	grief	5	planned		en_US
devotion_path_shonen	niche	shonen	4	courage	1	planned		en_US
devotion_path_shonen	niche	shonen	4	courage	2	planned		en_US
devotion_path_shonen	niche	shonen	4	courage	3	planned		en_US
devotion_path_shonen	niche	shonen	4	courage	4	planned		en_US
devotion_path_shonen	niche	shonen	4	courage	5	planned		en_US
devotion_path_shonen	niche	shonen	5	courage	1	planned		en_US
devotion_path_shonen	niche	shonen	5	courage	2	planned		en_US
devotion_path_shonen	niche	shonen	5	courage	3	planned		en_US
devotion_path_shonen	niche	shonen	5	courage	4	planned		en_US
devotion_path_shonen	niche	shonen	5	courage	5	planned		en_US
digital_ground	flagship	manhwa	1	burnout	1	planned		en_US
digital_ground	flagship	manhwa	1	burnout	2	planned		en_US
digital_ground	flagship	manhwa	1	burnout	3	planned		en_US
digital_ground	flagship	manhwa	1	burnout	4	planned		en_US
digital_ground	flagship	manhwa	1	burnout	5	planned		en_US
digital_ground	flagship	manhwa	2	imposter_syndrome	1	planned		en_US
digital_ground	flagship	manhwa	2	imposter_syndrome	2	planned		en_US
digital_ground	flagship	manhwa	2	imposter_syndrome	3	planned		en_US
digital_ground	flagship	manhwa	2	imposter_syndrome	4	planned		en_US
digital_ground	flagship	manhwa	2	imposter_syndrome	5	planned		en_US
digital_ground	flagship	manhwa	3	financial_anxiety	1	planned		en_US
digital_ground	flagship	manhwa	3	financial_anxiety	2	planned		en_US
digital_ground	flagship	manhwa	3	financial_anxiety	3	planned		en_US
