book_id	persona	topic	catalog_engine	engine_binding_status	arc_exists	atom_dir	verdict
devotion_path__sai_ma__gen_z_student__imposter_syndrome__overwhelm	gen_z_student	imposter_syndrome	overwhelm	forbidden	yes	yes	BUILDS_BUT_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_student__imposter_syndrome__spiral	gen_z_student	imposter_syndrome	spiral	forbidden	yes	yes	BUILDS_BUT_ENGINE_ILLEGAL
devotion_path__sai_ma__healthcare_rns__burnout__false_alarm	healthcare_rns	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__healthcare_rns__burnout__overwhelm	healthcare_rns	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__healthcare_rns__burnout__spiral	healthcare_rns	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__healthcare_rns__courage__false_alarm	healthcare_rns	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__healthcare_rns__courage__overwhelm	healthcare_rns	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__healthcare_rns__courage__spiral	healthcare_rns	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__healthcare_rns__imposter_syndrome__false_alarm	healthcare_rns	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__healthcare_rns__imposter_syndrome__overwhelm	healthcare_rns	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__healthcare_rns__imposter_syndrome__spiral	healthcare_rns	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__millennial_women_professionals__burnout__false_alarm	millennial_women_professionals	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__millennial_women_professionals__burnout__overwhelm	millennial_women_professionals	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__millennial_women_professionals__burnout__spiral	millennial_women_professionals	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__millennial_women_professionals__courage__false_alarm	millennial_women_professionals	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__millennial_women_professionals__courage__overwhelm	millennial_women_professionals	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__millennial_women_professionals__courage__spiral	millennial_women_professionals	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__millennial_women_professionals__imposter_syndrome__false_alarm	millennial_women_professionals	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__millennial_women_professionals__imposter_syndrome__overwhelm	millennial_women_professionals	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__millennial_women_professionals__imposter_syndrome__spiral	millennial_women_professionals	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__tech_finance_burnout__burnout__false_alarm	tech_finance_burnout	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
