brand_id	week_iso	deliverable_type	status	download_url	last_updated
executive_calm_workplace	2026-W22	podcast	ready	artifacts/weekly_packages/executive_calm_workplace/2026-W22/executive_calm_workplace_2026-W22.zip	2026-05-25T20:48:32Z
focus_sprint_workplace	2026-W22	books	ready	artifacts/weekly_packages/focus_sprint_workplace/2026-W22/focus_sprint_workplace_2026-W22.zip	2026-05-25T20:48:32Z
focus_sprint_workplace	2026-W22	atoms	ready	artifacts/weekly_packages/focus_sprint_workplace/2026-W22/focus_sprint_workplace_2026-W22.zip	2026-05-25T20:48:32Z
focus_sprint_workplace	2026-W22	manga_panels	ready	artifacts/weekly_packages/focus_sprint_workplace/2026-W22/focus_sprint_workplace_2026-W22.zip	2026-05-25T20:48:32Z
focus_sprint_workplace	2026-W22	pearl_news	ready	artifacts/weekly_packages/focus_sprint_workplace/2026-W22/focus_sprint_workplace_2026-W22.zip	2026-05-25T20:48:32Z
focus_sprint_workplace	2026-W22	podcast	ready	artifacts/weekly_packages/focus_sprint_workplace/2026-W22/focus_sprint_workplace_2026-W22.zip	2026-05-25T20:48:32Z
gentle_growth_healing	2026-W22	books	ready	artifacts/weekly_packages/gentle_growth_healing/2026-W22/gentle_growth_healing_2026-W22.zip	2026-05-25T20:48:32Z
gentle_growth_healing	2026-W22	atoms	ready	artifacts/weekly_packages/gentle_growth_healing/2026-W22/gentle_growth_healing_2026-W22.zip	2026-05-25T20:48:32Z
gentle_growth_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/gentle_growth_healing/2026-W22/gentle_growth_healing_2026-W22.zip	2026-05-25T20:48:32Z
gentle_growth_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/gentle_growth_healing/2026-W22/gentle_growth_healing_2026-W22.zip	2026-05-25T20:48:32Z
gentle_growth_healing	2026-W22	podcast	ready	artifacts/weekly_packages/gentle_growth_healing/2026-W22/gentle_growth_healing_2026-W22.zip	2026-05-25T20:48:32Z
healing_ground_healing	2026-W22	books	ready	artifacts/weekly_packages/healing_ground_healing/2026-W22/healing_ground_healing_2026-W22.zip	2026-05-25T20:48:32Z
healing_ground_healing	2026-W22	atoms	ready	artifacts/weekly_packages/healing_ground_healing/2026-W22/healing_ground_healing_2026-W22.zip	2026-05-25T20:48:32Z
healing_ground_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/healing_ground_healing/2026-W22/healing_ground_healing_2026-W22.zip	2026-05-25T20:48:32Z
healing_ground_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/healing_ground_healing/2026-W22/healing_ground_healing_2026-W22.zip	2026-05-25T20:48:32Z
healing_ground_healing	2026-W22	podcast	ready	artifacts/weekly_packages/healing_ground_healing/2026-W22/healing_ground_healing_2026-W22.zip	2026-05-25T20:48:32Z
heart_balance_shojo	2026-W22	books	ready	artifacts/weekly_packages/heart_balance_shojo/2026-W22/heart_balance_shojo_2026-W22.zip	2026-05-25T20:48:32Z
heart_balance_shojo	2026-W22	atoms	ready	artifacts/weekly_packages/heart_balance_shojo/2026-W22/heart_balance_shojo_2026-W22.zip	2026-05-25T20:48:32Z
heart_balance_shojo	2026-W22	manga_panels	ready	artifacts/weekly_packages/heart_balance_shojo/2026-W22/heart_balance_shojo_2026-W22.zip	2026-05-25T20:48:32Z
heart_balance_shojo	2026-W22	pearl_news	ready	artifacts/weekly_packages/heart_balance_shojo/2026-W22/heart_balance_shojo_2026-W22.zip	2026-05-25T20:48:32Z
heart_balance_shojo	2026-W22	podcast	ready	artifacts/weekly_packages/heart_balance_shojo/2026-W22/heart_balance_shojo_2026-W22.zip	2026-05-25T20:48:32Z
high_performer_workplace	2026-W22	books	ready	artifacts/weekly_packages/high_performer_workplace/2026-W22/high_performer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
high_performer_workplace	2026-W22	atoms	ready	artifacts/weekly_packages/high_performer_workplace/2026-W22/high_performer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
high_performer_workplace	2026-W22	manga_panels	ready	artifacts/weekly_packages/high_performer_workplace/2026-W22/high_performer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
high_performer_workplace	2026-W22	pearl_news	ready	artifacts/weekly_packages/high_performer_workplace/2026-W22/high_performer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
high_performer_workplace	2026-W22	podcast	ready	artifacts/weekly_packages/high_performer_workplace/2026-W22/high_performer_workplace_2026-W22.zip	2026-05-25T20:48:32Z
hormone_reset_healing	2026-W22	books	ready	artifacts/weekly_packages/hormone_reset_healing/2026-W22/hormone_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
hormone_reset_healing	2026-W22	atoms	ready	artifacts/weekly_packages/hormone_reset_healing/2026-W22/hormone_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
hormone_reset_healing	2026-W22	manga_panels	ready	artifacts/weekly_packages/hormone_reset_healing/2026-W22/hormone_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
hormone_reset_healing	2026-W22	pearl_news	ready	artifacts/weekly_packages/hormone_reset_healing/2026-W22/hormone_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
hormone_reset_healing	2026-W22	podcast	ready	artifacts/weekly_packages/hormone_reset_healing/2026-W22/hormone_reset_healing_2026-W22.zip	2026-05-25T20:48:32Z
legacy_builder_memoir	2026-W22	books	ready	artifacts/weekly_packages/legacy_builder_memoir/2026-W22/legacy_builder_memoir_2026-W22.zip	2026-05-25T20:48:32Z
legacy_builder_memoir	2026-W22	atoms	ready	artifacts/weekly_packages/legacy_builder_memoir/2026-W22/legacy_builder_memoir_2026-W22.zip	2026-05-25T20:48:32Z
legacy_builder_memoir	2026-W22	manga_panels	ready	artifacts/weekly_packages/legacy_builder_memoir/2026-W22/legacy_builder_memoir_2026-W22.zip	2026-05-25T20:48:32Z
legacy_builder_memoir	2026-W22	pearl_news	ready	artifacts/weekly_packages/legacy_builder_memoir/2026-W22/legacy_builder_memoir_2026-W22.zip	2026-05-25T20:48:32Z
