rank,persona,topic,build_now_score,readiness_band,completeness_score,story_blocks,scene_blocks,locale_overlay_count,sparse_unit_count,why_now
81,first_responders,compassion_fatigue,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
82,first_responders,courage,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
83,first_responders,depression,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
84,first_responders,financial_anxiety,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
85,first_responders,financial_stress,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
86,first_responders,grief,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
87,first_responders,imposter_syndrome,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
88,first_responders,self_worth,211,build_soon,173,20,30,22,4,score 211; story depth 20; scene depth 30; locale overlays 22
89,healthcare_rns,depression,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
90,healthcare_rns,financial_stress,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
91,healthcare_rns,grief,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
92,healthcare_rns,imposter_syndrome,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
93,healthcare_rns,self_worth,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
94,healthcare_rns,social_anxiety,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
95,healthcare_rns,somatic_healing,211,build_soon,173,20,30,32,4,score 211; story depth 20; scene depth 30; locale overlays 32
96,millennial_women_professionals,grief,211,build_soon,173,20,30,34,4,score 211; story depth 20; scene depth 30; locale overlays 34
97,millennial_women_professionals,imposter_syndrome,211,build_soon,173,20,30,34,4,score 211; story depth 20; scene depth 30; locale overlays 34
98,millennial_women_professionals,overthinking,211,build_soon,173,20,30,34,4,score 211; story depth 20; scene depth 30; locale overlays 34
99,millennial_women_professionals,self_worth,211,build_soon,173,20,30,34,4,score 211; story depth 20; scene depth 30; locale overlays 34
100,millennial_women_professionals,sleep_anxiety,211,build_soon,173,20,30,34,4,score 211; story depth 20; scene depth 30; locale overlays 34
