Discovered 456 arc files across 12 personas.
  [ 112/1000] book_0112 FAIL  2.0s  0w  corporate_managers/social_anxiety/false_alarm/F006
  [ 113/1000] book_0111 FAIL  3.6s  0w  tech_finance_burnout/self_worth/shame/F006
  [ 114/1000] book_0113 FAIL  3.3s  0w  working_parents/sleep_anxiety/overwhelm/F006
  [ 115/1000] book_0116 FAIL  2.2s  0w  gen_alpha_students/burnout/watcher/F006
  [ 116/1000] book_0114 FAIL  3.5s  0w  gen_alpha_students/compassion_fatigue/watcher/F006
  [ 117/1000] book_0115 FAIL  4.0s  0w  corporate_managers/somatic_healing/overwhelm/F006
  [ 118/1000] book_0117 FAIL  2.8s  0w  entrepreneurs/burnout/overwhelm/F006
  [ 119/1000] book_0119 FAIL  2.4s  0w  gen_alpha_students/burnout/watcher/F006
  [ 120/1000] book_0120 FAIL  2.0s  0w  working_parents/social_anxiety/false_alarm/F006
  [ 121/1000] book_0118 FAIL  3.8s  0w  tech_finance_burnout/financial_anxiety/overwhelm/F006
  [ 122/1000] book_0121 FAIL  2.7s  0w  gen_z_professionals/financial_stress/shame/F006
  [ 123/1000] book_0122 FAIL  2.8s  0w  gen_alpha_students/grief/grief/F006
  [ 124/1000] book_0124 FAIL  3.0s  0w  entrepreneurs/compassion_fatigue/grief/F006
  [ 125/1000] book_0123 FAIL  3.2s  0w  gen_x_sandwich/anxiety/watcher/F006
  [ 126/1000] book_0125 FAIL  3.4s  0w  entrepreneurs/anxiety/grief/F006
  [ 127/1000] book_0126 FAIL  3.1s  0w  corporate_managers/compassion_fatigue/watcher/F006
  [ 128/1000] book_0127 FAIL  4.2s  0w  gen_z_professionals/boundaries/comparison/F006
  [ 129/1000] book_0128 FAIL  4.3s  0w  corporate_managers/boundaries/shame/F006
  [ 130/1000] book_0130 FAIL  3.7s  0w  first_responders/burnout/overwhelm/F006
  [ 131/1000] book_0129 OK  6.9s  2731w  nyc_executives/anxiety/spiral/F015
  [ 132/1000] book_0131 FAIL  5.0s  0w  millennial_women_professionals/sleep_anxiety/spiral/F006
  [ 133/1000] book_0132 FAIL  5.4s  0w  corporate_managers/anxiety/spiral/F009
  [ 134/1000] book_0133 FAIL  4.1s  0w  working_parents/depression/overwhelm/F006
  [ 135/1000] book_0135 FAIL  1.9s  0w  millennial_women_professionals/overthinking/spiral/F006
  [ 136/1000] book_0136 FAIL  1.6s  0w  corporate_managers/social_anxiety/comparison/F006
  [ 137/1000] book_0134 FAIL  2.7s  0w  working_parents/financial_stress/spiral/F006
  [ 138/1000] book_0137 FAIL  1.5s  0w  tech_finance_burnout/burnout/overwhelm/F006
  [ 139/1000] book_0138 FAIL  1.1s  0w  first_responders/somatic_healing/watcher/F006
  [ 140/1000] book_0139 FAIL  1.2s  0w  millennial_women_professionals/overthinking/spiral/F006
  [ 141/1000] book_0140 FAIL  1.9s  0w  working_parents/compassion_fatigue/overwhelm/F006
  [ 142/1000] book_0141 FAIL  2.0s  0w  gen_z_professionals/self_worth/shame/F006
  [ 143/1000] book_0142 FAIL  2.5s  0w  entrepreneurs/anxiety/grief/F006
  [ 144/1000] book_0143 FAIL  2.3s  0w  healthcare_rns/courage/shame/F006
  [ 145/1000] book_0145 FAIL  1.5s  0w  healthcare_rns/financial_anxiety/overwhelm/F006
  [ 146/1000] book_0144 FAIL  2.6s  0w  gen_x_sandwich/courage/spiral/F006
  [ 147/1000] book_0147 FAIL  3.2s  0w  healthcare_rns/grief/watcher/F006
  [ 148/1000] book_0146 FAIL  3.3s  0w  entrepreneurs/courage/shame/F006
  [ 149/1000] book_0148 FAIL  3.4s  0w  healthcare_rns/depression/watcher/F006
  [ 150/1000] book_0149 FAIL  3.6s  0w  entrepreneurs/boundaries/shame/F006
  [ 151/1000] book_0151 FAIL  3.1s  0w  gen_x_sandwich/depression/watcher/F006
  [ 152/1000] book_0150 FAIL  3.5s  0w  working_parents/anxiety/grief/F006
