persona	topic	duration	engine	buildability	chapter_count	count_invariant_cohesion	repetition_severity	rep_score	cohesion_issues
corporate_managers	sleep_anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	social_anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	social_anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	social_anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	social_anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
corporate_managers	somatic_healing	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	somatic_healing	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	somatic_healing	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
corporate_managers	somatic_healing	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	anxiety	deep_book_4h	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	anxiety	deep_book_6h	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	anxiety	extended_book_2h	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	anxiety	micro_book_15	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.12	
educators	anxiety	micro_book_20	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.12	
educators	anxiety	short_book_30	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.12	
educators	anxiety	standard_book	overwhelm	PLANNABLE	8	PASS	MEDIUM	0.185	
educators	boundaries	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	boundaries	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	boundaries	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	boundaries	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	boundaries	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	boundaries	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	boundaries	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	burnout	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	burnout	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	burnout	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	burnout	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	burnout	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	burnout	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	burnout	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	compassion_fatigue	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	compassion_fatigue	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	compassion_fatigue	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	compassion_fatigue	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	compassion_fatigue	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	compassion_fatigue	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	compassion_fatigue	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
educators	imposter_syndrome	deep_book_4h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
educators	imposter_syndrome	deep_book_6h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
educators	imposter_syndrome	extended_book_2h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
educators	imposter_syndrome	micro_book_15	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	imposter_syndrome	micro_book_20	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	imposter_syndrome	short_book_30	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
educators	imposter_syndrome	standard_book	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
entrepreneurs	anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	boundaries	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	boundaries	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	boundaries	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	boundaries	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	boundaries	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	boundaries	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	boundaries	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	burnout	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	burnout	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	burnout	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	burnout	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	burnout	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	burnout	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	burnout	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	compassion_fatigue	deep_book_4h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	compassion_fatigue	deep_book_6h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	compassion_fatigue	extended_book_2h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	compassion_fatigue	micro_book_15	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	compassion_fatigue	micro_book_20	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	compassion_fatigue	short_book_30	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	compassion_fatigue	standard_book	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	courage	deep_book_4h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
entrepreneurs	courage	deep_book_6h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
entrepreneurs	courage	extended_book_2h	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
entrepreneurs	courage	micro_book_15	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	courage	micro_book_20	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	courage	short_book_30	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	courage	standard_book	false_alarm	PLANNABLE	20	PASS	MEDIUM	0.186	
entrepreneurs	depression	deep_book_4h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	depression	deep_book_6h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	depression	extended_book_2h	grief	PLANNABLE	20	PASS	MEDIUM	0.19	
entrepreneurs	depression	micro_book_15	grief	PLANNABLE	20	PASS	MEDIUM	0.12	
