book_id	topic	persona	teacher	format	wc	ontgp	bestseller_verdict	quality_summary_verdict	failure_mode
book_0017_courage_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0018_depression_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0019_financial_anxiety_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0020_financial_stress_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0021_self_worth_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0022_sleep_anxiety_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0023_social_anxiety_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0024_somatic_healing_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0025_anxiety_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0026_boundaries_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0027_burnout_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0028_compassion_fatigue_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0029_courage_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0030_depression_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0031_imposter_syndrome_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0032_overthinking_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0033_self_worth_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0034_sleep_anxiety_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0035_social_anxiety_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0036_somatic_healing_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0037_anxiety_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0038_boundaries_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0039_burnout_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0040_compassion_fatigue_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0041_financial_stress_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0042_grief_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0043_imposter_syndrome_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0044_overthinking_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0045_self_worth_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0046_sleep_anxiety_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0047_social_anxiety_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0048_somatic_healing_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0049_anxiety_gen_alpha_students	anxiety	gen_alpha_students	junko	standard_book	12261	0.5912	PASS	FAIL	RENDERED
book_0050_boundaries_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0051_burnout_gen_z_student			default_teacher			—	MISSING	MISSING	UNCATEGORIZED
